provision_id,provision,directive_requirement,nl_implementation,status,extract
scope-bnpl-cards-overdraft,"Scope & thresholds (CCD2 arts 2, 4)","€200 lower limit abolished; ceiling raised to €100,000; BNPL, credit cards and authorised overdrafts brought into scope","'Verlenen van uitstel van betaling' added to credit (Wft 1:1); art 1:20 exceptions narrowed; AFM licence (Wft 2:60) needed; narrow ≤50-day BNPL exception","In bill 36924 (TK written preparation)","extracts/transposition-nl/36924_artikel-I-wft.md#wft-1-20"
minors-ban,"Ban on credit to minors (CCD2 art 6)","Member-State option for objective-justified age differentiation","New Wft 4:34b public-law ban on deferred-payment credit to minors + mandatory age verification; BW 7:75(4) makes such agreements voidable","In bill 36924 (legal basis changed to CCD2 art 6 after RvS advice)","extracts/transposition-nl/36924_artikel-I-wft.md#wft-4-34b"
deferred-debit-cards,"Deferred-debit cards (CCD2 Member-State option)","Member States may exempt deferred-debit cards","NL does not exempt but applies the rules 6 months later than the rest of the act","In bill 36924","extracts/transposition-nl/36924_slotbepalingen.md#inwerkingtreding"
advertising,"Advertising & standard information (CCD2 arts 7-8)","Ban on misleading credit advertising; standard information requirements","BW 7:59 recast (oneerlijke handelspraktijk + 'lenen kost geld' warning); ban on downplaying a BKR registration; four new BGfo advertising prohibitions (via AMvB)","In bill 36924 + Implementatiebesluit","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-59"
precontractual,"Pre-contractual information, explanations & personalised offers (CCD2 arts 9-13)","SECCI-style information modernised; adequate explanations; disclosure of automated personalised offers","BW 7:60 recast: comparable pre-contractual info, late-info withdrawal reminder, adequate explanation, personalised-offer disclosure; breach = oneerlijke handelspraktijk","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-60"
tying-bundling,"Tying & bundling; inferred agreement (CCD2 arts 14-15)","Bundling allowed but tying prohibited; equivalent-insurance acceptance; 3-day insurance comparison; no pre-ticked default options","New BW 7:60a (tying ban + account/insurance carve-outs) and 7:60b (oncological-data limit); affirmative consent in BW 7:58a","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-60a"
advisory-services,"Advisory services (CCD2 art 16)","Disclosure of advice; suitability; record of recommendation; best-interest duty","Wft 4:23 extended: duty to give the consumer a copy of the credit advice on a durable medium","In bill 36924","extracts/transposition-nl/36924_artikel-I-wft.md#wft-4-23"
unsolicited-credit-ban,"Ban on unsolicited credit (CCD2 art 17)","No granting of credit without the consumer's prior request and explicit agreement","BW 7:58a(1): agreement only at the consumer's request; Wft 4:34c borging duty bringing it under AFM supervision","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-58a"
creditworthiness,"Creditworthiness assessment (CCD2 art 18)","Assessment 'necessary and proportionate'; ban on social-network data and special-category data","Wft 4:34 recast; new Wft 4:34a bans social-network/special-category data; AMvB removes €1,000 verification & €250 BKR thresholds","In bill 36924 + Implementatiebesluit","extracts/transposition-nl/36924_artikel-I-wft.md#wft-4-34a"
databases,"Databases / credit registration (CCD2 art 19)","Non-discriminatory access; 30-day arrears notice; disclosure of data categories on rejection","Wft 4:32 adds 30-day arrears notice + categories-of-data disclosure; wider BKR/CKI reform in the adjacent kredietregistratie bill (keep_apart)","In bill 36924 + Implementatiebesluit","extracts/transposition-nl/36924_artikel-I-wft.md#wft-4-32"
